Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Vernon Carey Jr.\vernon-careyjr-1,31,30,772,14.1,24.5,0.577,13.6,23,0.59,0.6,1.5,0.381,10.4,15.5,0.67,19.3,2.1,1.6,3.5,4.5,6,39.2,,121.2,88
2,Matthew Hurt\matthew-hurt-1,31,22,637,9.5,19.5,0.487,5.9,10.3,0.571,3.6,9.2,0.393,3.4,4.7,0.741,10.1,2.3,1.2,2,2.3,5,26,,124.6,96.1
3,Tre Jones\tre-jones-1,29,29,1028,8.6,20.4,0.423,6.6,14.7,0.447,2.1,5.8,0.361,5.8,7.5,0.771,6.6,9.9,2.8,0.5,4.2,2.7,25.1,,113.2,94.6
4,Cassius Stanley\cassius-stanley-1,29,29,796,8.8,18.6,0.474,6.7,12.7,0.527,2.1,5.9,0.36,5.3,7.2,0.733,9.7,2.1,1.4,1.4,3.7,4.3,25.1,,112.3,96.2
5,Joey Baker\joey-baker-1,28,3,338,8.1,19.8,0.41,3.6,8.3,0.431,4.5,11.5,0.394,1.8,1.9,0.917,3.9,3.4,2.3,1,2.4,7.6,22.6,,111.9,96.3
6,Justin Robinson\justin-robinson-4,15,1,102,8.6,16.7,0.516,3.8,5.4,0.7,4.8,11.3,0.429,0.5,1.1,0.5,11.8,3.8,2.7,9.1,1.6,9.7,22.6,,137.2,83.7
7,Alex O'Connell\alex-oconnell-1,29,6,386,8.5,21,0.405,5.5,10.1,0.549,3,10.9,0.273,1.6,2.7,0.579,9.2,3.1,3.1,0.3,3,3,21.6,,101.5,93
8,Wendell Moore Jr.\wendell-moorejr-1,25,11,600,5.9,14.1,0.416,5.5,12.3,0.444,0.4,1.7,0.211,4.9,6.1,0.806,9.7,4.3,2,0.5,5.6,4.8,17,,95,95.7
9,Javin DeLaurier\javin-delaurier-1,31,2,410,5.5,9.9,0.554,5.4,9.1,0.588,0.1,0.8,0.167,3.5,5.2,0.667,14.7,2.1,2.5,3.6,3.1,9.4,14.6,,113.8,88.2
10,Jordan Goldwire\jordan-goldwire-1,31,15,747,4.3,8.7,0.487,3,5.2,0.577,1.2,3.5,0.354,1,1.6,0.636,5.7,5.1,3.4,0.4,2.1,3.5,10.8,,116.7,94.3
11,Jack White\jack-white-1,30,7,468,3.6,9.4,0.388,1.6,3.3,0.5,2,6.1,0.327,1.5,2.1,0.722,10.1,2.7,2.6,2.6,2.6,5,10.8,,105.1,91.5
12,Mike Buckmire\mike-buckmire-1,8,0,16,3.4,17.2,0.2,3.4,13.7,0.25,0,3.4,0,0,0,,24,3.4,0,0,3.4,0,6.9,,58.4,89.9
